Phone looks brand knew.,"I bought this phone for my son that lives in Jamaica as a Christmas gift.You see I was so nervous and skeptical to buy this phone. because of the mixed reviews.the phone came with a charger, the pin to pull out the SIM card draw, a receipt and a instruction card if you’re gonna send it back. The phone and everything mentioned was packed in a nice box.The phone is clean and looks brand new. no scratches or scrapes. it’s also unlocked which is what i payEd for. Everything on the phone seems to be working fine for now, I’ll update later if anything changes. So far I’m happy with my purchase. no complaints",2019年12月7日 在美国审核
Best smartphone made (not kidding),"I’ve owned my iPhone XS Max for a little over a month now. Let me say this, I started with the original iPhone and kept them through the 4S. I made the switch to Galaxy, and had those through the S6 Edge. Made the switch back and I can tell you my user experience is better than any phone ever. I was definitely the one that argued Galaxy are superior. For many reasons they are. I’ve played with the X, and was disappointed.Pros:Battery life is superior to anything I’ve ownedReception hands down is the BEST. I can use it without issue in the big department stores that plague everyone.The feel of this phone is luxury at minimum. It’s flawless in your hands.It’s faster than any galaxy or iPhone I’ve ever used and tried (Note 8 and S9)The apps are just designed better.I am a very heavy user and stream EVERYTHING. I have never had an issue with reception, speed or lagging, ever.3D Touch and face recognition are super fast and user friendly. I’ve noticed face recognition gets better with use. It’s constantly calibrating, which means as you change, so it does.The camera, hands down is such an incredible quality. Both features and image quality.You know this about iPhone, and ignore marketing of other companies, it’s BS.Wireless charging is lightning fastSeamlessly connects with iPad and they automatically update each other with apps etc. THIS is super cool!!!The speakers are incredible! I actually have to turn it down a couple notches as it’s very loudThe new Gold is just absolutely stunning. The backing is a pearlized gold and the trim around it is a classy and metal gold. StunningCons:PriceyNo headphone jackAll glass (doesn’t bother me as I am extremely careful with my phones) but the average person that drops, you need to put a case on.No headphones includedNo cable included (I bought a 5 pack from Amazon anyway beforehand, so it’s a non issue)The notch. Bit of an odd eyesore but in turn I get HD quality calls and reverse camera functionality)Overall this truly is an incredible device.",2018年12月9日 在美国审核
Just be aware about the risk.,I know is use phones but for the price of $700 it looks in a bad condition unfortunately you take a risk when you buy phones with out been able to see them and are used and I am not happy with this purchase.,2019年11月24日 在美国审核
Phone Died out of thr blue!!!!,I have had this phone for 33 days and it just stopped working for no reason!!!!I paid $1000 for this phone this is UNACCEPTABLE!!!,2019年8月29日 在美国审核
Beautiful phone with amazing performance.,"6 Months Later update - Still acts like I bought it yesterday. Everything is so smooth, fast, responsive, battery health is still great, and there have been no issues I know of whatsoever. Still have no regrets with this purchase and love this phone! (Original review is below.)<br>First off, I would like to provide my experience with purchasing a used phone. I was very hesitant with this one. But Amazon has a wonderful return policy so I thought, if it isn't what I'm expecting, I can always return it.The things I was very concerned about with previous reviews is if the phone had been wiped correctly to be set up as a new iPhone, if the phone had been previously stolen, if the phone is truly 'unlocked', if the storage space was as I ordered, or if the phone was even a genuine Apple product in the first place!Upon opening it, I did find some light scratching on the front and back glass. Of course, this is to be expected. I'm very happy that there's nothing major at all. The stainless steel band is SPOTLESS.I powered it on, it greeted me with Apple's famous multilingual 'Hello' screen. And THANKFULLY the phone was indeed wiped properly before handed down. I set it up with my Apple ID and went straight to settings. I checked the Serial Number at Apple's website. And was so happy that what I received was a 100% genuine XS Max. I was also very happy to discover that the storage was what I ordered and that yes, the phone is unlocked. I also checked the battery health which is at 98%. Leading me to believe this phone had only been used lightly before.Everything checks out, I am thrilled! Coming from an iPhone 8 Plus, I notice that the phone feels equally as good in my hand. But the smoothness of the stainless steel just adds such a premium feel to it. And have I mentioned the gold is absolutely stunning!? I'm really happy I chose the XS Max over the 11 Pro Max. Mainly because of the rather strange looking new camera design.Being a huge fan of Touch ID, I was very upset about having to switch to Face ID. But honestly, it's actually a lot better than I expected it to be. Its quicker, more secure, and more convenient that your phone just knows that it's you.Now, Performance. This phone excels at pretty much all that I ask it to. Games are faster and smoother than I've ever experienced on a mobile device. (Even the Note 9 I had.) And the new OLED Super Retina Display makes movies, videos, and pictures just incredible. The blacks are SO dark, they blend in perfectly with the outer screen. The camera is unbelievable too. Photos are sharp with detail and the colors are impressive.So overall, my experience of purchasing a used phone couldn't have gone smoother. I am very happy with it! Just make sure you buy from a seller with a bunch of great reviews and you'll most likely get a truthful and legit product like I did.</br>",2019年12月20日 在美国审核
Review,"INTROI bought the iPhone XS Max on the first day it came out on September 12, 2018. I purchased the 64gb gold model. I have owned other iPhones in the past such as the 6 and 8 plus and many other Apple products. I’ve also had Androids and many different types of PC’s. In this review I will focus on mainly the camera and battery.IDEAL USERThe ideal user for the iPhone XS Max would be someone who has owned an iPhone before. The reason I say this is because it has so many similarities to its previous models such as the format of the apps. Also, the shortcuts on this new iPhone are extremely similar to the old generations.CAMERAIn my opinion, the iPhone XS Max camera is one of the best and offers amazing advantages. There is this new feature where you can now change the depth of field of a picture that has already been taken. Another plus is that you can do this to photos that have taken by both the front and back camera unlike androids. Some androids can also adjust the depth of field but only before the picture is taken and not after. I use this feature all the time and improves the picture dramatically, making them look professionally taken.BATTERY LIFEThe battery life for the iPhone XS Max is the biggest battery that has ever been on a iPhone. It can even last an hour a half longer than its previous model the X. I start off my day with a fully charged phone every day and stream music, watch videos, roam social media for hours and it does not die. It is at a low percentage, but it still has battery. So basically, one full charge can last you the whole day maybe even two.OVERALLOverall, this phone is good phone for anyone who wants to upgrade from their older generation model. The camera will never fail you, it’s the best on the market and offers many editing abilities with the camera. The battery is so big on the XS Max that you won’t always need to carry your charger with you. These are the only things I could talk about in a short review because this phone has so many advantages.",2019年2月15日 在美国审核
Bcz the phone is coming locked,The phone is coming locked I cannot usine it I have to pay another money to unlock it,2019年3月7日 在美国审核
Scratched screen,Product had scratches on the screen. Definitely heavily used.,2019年5月22日 在美国审核
Disappointed to see that such a great fone without the face ID,Face ID does not work,2019年1月2日 在美国审核
So far so great!,"I was initially skeptical about buying a used phone, but the experience so far has been great. I've been playing with the phone for the past few days and held off before writing a review to test things out. There weren't any major scratches/dents on the device, with an exception to some small scratches on the stainless steel bezel. Those were probably inevitable anyways, and can easily be polished out with a Cape Cod cloth. The screen didn't have any scratches visible to the naked eye, and was in very good condition. One thing I have noticed is that when turned off the device takes sometimes up to 20 seconds or more before powering on, which I don't know if is common for iPhones as this is my first one. Another thing I thought I would be worried about is the battery health, which hasn't been a problem. In fact, the model I got was at 100%! This makes me believe it was either recently changed or Apple has some serious durability on their battery, as I've gone over a whole day without charging when starting at 100%. Everything feels fast, and works as it should. I also had some time left the original apple 1 year warranty, so should be covered for the next few months.<br>Overall, I can't speak for other sellers, but SikkSound gave me a very good phone! However, I would recommend buying from a reputable seller on Amazon if you're going the used route, and to be able to make sure you can return if there are any problems, since it can honestly be a crapshoot from what I've read in other reviews.I will update my rating if anything changes or goes wrong with the phone.EDIT: After using the phone for just a few months, there is now a speaker problem with the speaker. It has a very noticeable distortion when playing audio. I haven't exposed it to water or dropped it at all. I'm considering doing a return.</br>",2019年7月25日 在美国审核
Excelente,El celular es excelente.,2019年2月16日 在美国审核
Amazing and in Mint Condition!!,"Amazing deal!! The phone is in mint condition and everything works and looks like new. I purchased the fully unlocked (all carriers) renewed premium phone sold by Amazon. Renewed premium phones come with a year replacement or return on them plus a guarantee of at least 90% battery life. The regular renewed phones only have a 90 day return or replacement window and at least 80% battery life. My battery shows 93% which is excellent for a used phone. The phone is super fast when surfing the web or playing games and the camera is incredible. I love the facial recognition feature and the speakers sound amazing compared to my old iPhone. It was packaged with care in a nice box which also included pamphlets, a sim card key and a charger with cable. I am so happy I purchased this and highly recommend purchasing renewed premium.",2021年4月6日 在美国审核
"Buying ""Renewed by Amazon"" experience - The iPhone XS Max","So, I recently made the decision to move back to Apple from Android and was not going to spend the $1000 on a ""renewed"" device when functionality wise, the XS max and 11 Pro max are very close.With that, I chose to go down the Amazon renewed route rather than taking a chance on ebay simply due to the ability to very easily return the device if it does not live up to Amazon's renewed standards, never mind having a 90 day return window if something does not go as expected (remember, this is ""renewed"", not NEW so by this time, most bugs or hardware issues should be worked out and if not, you will know pretty quickly and be able to return/replace).<br>So there are two things I would recommend when buying a ""renewed"" device.First, just don't buy right off the main device page, but research the vendors that Amazon uses as all of them are not equal in quality or customer satisfaction.I learned this the hard way.Second, I will say that MOST of the devices you will receive, cosmetically will ""look"" brand new, which in my book passes the first test.I did have a device that looked good, but had internal hardware issues and I had to send to send it back. twice.(This goes back to the vendor research and their ratings).In all, the phone I received from CTS warehouse was nearly perfect both cosmetically and function wise AND I got a brand new third party charger &amp; cable (You really don't NEED Apple branded), which also works perfectly.So, before you press the buy button, do your homework on who the vendor is otherwise, Amazon's ""Renewed"" program is probably the best one out there for saving hundreds on a device that looks and functions like new rather than taking a chance on ebay.</br>",2020年10月18日 在美国审核
