A lengthy review of a refurbished galaxy note 9,"I did a lot of research before buying a phone, and was quite worried that I would get ripped off from purchasing one online. Additionally, I've had poor luck with several of Amazon's third party retailers. With this in mind, I was very skeptical about potential false reviews, false advertising, or a damaged product. However, for the price it was the best deal I could find on a galaxy note 9 outside of a carrier plan. So, after seeing that the item was returnable I gave it a shot. Luckily, it worked. I recieved a fully unlocked note 9 with a charger and instructions on how to activate it.I will say that many of the reviews I read prior to buying insisted otherwise, and they were likely correct. If you're purchasing from Amazon, you'll probably see several similar looking deals with identical display pictures (which isn't a good sign in my book). Even if it is a prime eligible deal be careful and read through the descriptions. Look at the seller information and read the return policies on refurbished phones. It should list something about being returned within 2 weeks of the original purchase. If it does not be skeptical. Also, It should be noted that anyone can make up a business name and description on amazon, then sell used items out of their basement if they wanted, so look carefully through the seller's ""company"" reviews.Furthermore, the charger that came with my purchase was not an original Samsung charger. It was a cheaper off brand model that charged slower by comparison. The phone itself had little to no scratches. These micro scratches are small and only visible after a very close inspection on my part. The battery life on my phone has been excellent! This came as quite a nice surprise. I've used it for several months now and it keeps a charge like new. I can go two full days with mild/moderate use off one charge. ( Mild/moderate meaning not using my phone constantly throughout the day to watch movies, play games, or scroll through social media posts. I may have watched short videos for class, read emails, texts, short calls, etc.)Overall, the phone has worked quite well and continues to do so. Last thing I'll say is I highly reccomend the galaxy note 9 for the specs to cost ratio (as of 2019). Its a good phone for the value, even though phones in general are expensive. Any additional information on the phone specs and relative market comparisons would require another lengthy review, so I won't drag this on any further lol.Hopefully this helped someone and thanks for reading!",2019年7月19日 在美国审核,2
False advertisement,False advertisement i will be filing a claim this is not FACTORY UNLOCKED this phone belongs to at&amp;t i want my money back,2019年3月14日 在美国审核,2
Phones are NOT unlocked!,Ordered an "unlocked" Note 9. Phone came and is very much locked to Sprint. I have a very upset child and a now useless $800 phone.,2018年11月21日 在美国审核,0
False advertisement,False advertisement it is said to be factory unlocked but it’s not when I tried to use it for my straight talk service on Verizon I was told it’s locked to at&amp;t and t mobile,2019年1月16日 在美国审核,0
LOCKED TO SPRINT,This phone from Axe Wireless isn't unlocked.It's locked to SPRINT.,2019年1月9日 在美国审核,2
Save up for something new...,"Just got the phone...seems to be working ok, but it came with a broken charger and that's it. No sim tool or guide (not that anyone still uses those). It definitely feels like a cheap refurb. Reccomend that you save up for a new one.",2018年11月23日 在美国审核,0
Second Time's A Charm!,"Someone wrote that when we reviewed it would be helpful to write who we purchased our phone from so other potential buyers know who to buy from and who to avoid, so I will share my experience with trying to buy a secondhand note 9.<br>I had originally purchased a note 9 from WIRELESS WAREHOUSE. The phone was ""Amazon Renewed"" so I figured it would be in better shape, but it wasn't the quality that I was expecting, especially with the amount of scratches on the screen and the worn-out S-pen.Also, although the phone was supposed to be factory unlocked, the phone was locked to Sprint so it wouldn't work correctly with my Tracfone sim. For this reason, I ended up having to send back the phone.Afterwards, I bought a 2nd note 9, this time from EDGE CELLULAR and it came in near perfect condition with the exception of two little nicks on two of the corners but other than that, the phone was flawless [although, I did pay about $50 more for this one (total $440) than the original one I bought]. One thing different about this purchase was that it came in a Samsung box with all the original accessories including some headphones.Also, the 2nd phone was truly factory unlocked, so when I put in my Tracfone sim, it worked automatically. I'm much happier with the 2nd purchase and I think I will be keeping this one as long as it remains working well. I'll give an update in about a month or so to be sure.Hope this helps y'all.UPDATE: though it's been longer than a month, I just thought I'd mention that the phone is still great even in 2020. I absolutely love this Note 9 and am glad I made the purchase. Everything still works great!</br>",2019年11月19日 在美国审核,2
Great phone,"Opted for a note 9 instead of the upcoming 10 due to budget restraints and it is by far an excellent choice. I really didn't need all the bells ND whistles of the 10.This one works excellently. It came in a white box with charger, cable, Sim tray pin. I took out my Sim and SD card from my note 8, popped them in, turned on Samsung Switch on both ND let it rip. Done in less than an hour, every single app, contact, song, password, account, keyboard, done! Calls are much clearer, louder.This was a renewed phone and it is flawless out of the box. Not one scratch or ding.",2019年7月14日 在美国审核,0
No WiFi calling on this model,"Love the Galaxy Note 9 but I had to return this phone because it does not have WiFi calling. It was compatible with Verizon like it advertised but apparently the model N960u1 is not compatible with WiFi calling. It was suggested that the model N960u would be compatible with WiFi calling but since I can't check it before I buy it, I won't be buying factory unlocked again. I checked the phone at the Verizon store and it does have WiFi calling and is model N960u, so maybe it is just a model problem instead of an unlocked problem. However, it was indicated by the technicians that flash firmware would have to be downloaded on unlocked phones.",2018年12月10日 在美国审核,0
The phone is amazing,"Honestly it looks exactly like in the picture the screen and the phone both look amazing and I can't believe I got away with it for 600$ super win. The phone hasn't been acting up yet and the fingerprint scanner detects every move, it has a very sensible screen, the pen works very well with the phone and the camera quality is mesmerizing will post examples. No complaints yet I'm not a professional photographer",2019年4月14日 在美国审核,1
